Timestamp, Engine Raw, Chassis Raw, Output
18101482657,1.61133,1.90137,1.96535
18102560116,1.61052,1.85222,1.96817
18103637093,1.72896,1.63228,1.55366
18104715256,1.80308,1.52512,1.29423
18105792863,1.7354,1.66934,1.5311
18106871971,1.62825,1.78938,1.90614
18107951189,1.61375,1.77891,1.95689
18109029352,1.70156,1.58152,1.64953
18110108978,1.76924,1.42683,1.41267
18111187511,1.71687,1.55574,1.59595
18112265748,1.62825,1.80146,1.90614
18113345373,1.62825,1.80952,1.90614
18114427740,1.72332,1.62825,1.5734
18115506088,1.78535,1.48967,1.35627
18116585380,1.73298,1.56541,1.53956
18117663969,1.63228,1.69512,1.89204
18118742836,1.60811,1.83127,1.97663
18119821498,1.72009,1.5783,1.58468
18120900272,1.80469,1.40186,1.28859
18121978917,1.73782,1.6218,1.52264
18123058154,1.62502,1.80227,1.91741
18124140039,1.58877,1.75554,2.04431
18125219072,1.68625,1.62905,1.70311
18126297475,1.78374,1.57185,1.36191
18127376823,1.76118,1.64436,1.44086
18128469338,1.65806,1.90459,1.8018
18129534519,1.61616,1.96421,1.94843
18130613071,1.68545,1.66772,1.70593
18131692067,1.77568,1.37205,1.39011
18132770415,1.75796,1.56863,1.45214
18133852782,1.65886,1.85142,1.79898
18134926926,1.60085,1.90862,2.00201
18136004255,1.67417,1.69351,1.74541
18137081252,1.79341,1.51384,1.32807
18138158988,1.78293,1.62664,1.36473
18139236281,1.66208,1.79099,1.7877
18140313407,1.59199,1.92876,2.03303
18141391255,1.66611,1.72815,1.7736
18142468510,1.77327,1.46873,1.39857
18143547988,1.79099,1.48967,1.33653
18144630095,1.68706,1.80872,1.70029
18145708424,1.5936,1.93682,2.02739
18146786680,1.63228,1.68867,1.89204
18147866157,1.74507,1.42603,1.49726
18148944950,1.78374,1.43005,1.36191
18150023427,1.70076,1.76279,1.65235
18151101998,1.621,1.99241,1.93151
18152180383,1.63872,1.84658,1.86948
18153258897,1.74507,1.52593,1.49726
18154341579,1.77004,1.40427,1.40985
18155419667,1.68787,1.68787,1.69747
18156517404,1.61133,1.99885,1.96535
18157596178,1.64758,1.86753,1.83846
18158675637,1.75876,1.56782,1.44932
18159754356,1.78213,1.44858,1.36755
18160832278,1.68948,1.6927,1.69183
18161911570,1.60166,1.9207,1.99919
18163005159,1.62502,1.74185,1.91741
18164072396,1.75232,1.51948,1.47188
18165151207,1.80146,1.47678,1.29987
18166229147,1.70881,1.71445,1.62415
18167307717,1.60247,1.88525,1.99637
18168386491,1.61133,1.65403,1.96535
18169465173,1.72251,1.51143,1.57622
18170544836,1.80469,1.51545,1.28859
18171621554,1.74185,1.71768,1.50854
18172698957,1.63147,1.82241,1.89486
18173806028,1.61133,1.67014,1.96535
18174854820,1.71123,1.4373,1.61569
18175931576,1.78213,1.31404,1.36755
18177007961,1.72412,1.61938,1.57058
18178084864,1.62905,1.95132,1.90332
18179161508,1.61938,1.99402,1.93715
18180240986,1.71123,1.60408,1.61569
18181319334,1.77891,1.36641,1.37883
18182398108,1.73782,1.48967,1.52264
18183476623,1.6355,1.77649,1.88076
18184558508,1.61697,1.88042,1.94561
18185638152,1.70962,1.71284,1.62133
18186716741,1.80066,1.4929,1.30269
18187795274,1.75957,1.49854,1.4465
18188873548,1.64194,1.65967,1.8582
18189952748,1.60166,1.80308,1.99919
18191031651,1.67739,1.70317,1.73413
18192109703,1.76924,1.53076,1.41267
18193188366,1.75554,1.53318,1.4606
18194270102,1.65645,1.6637,1.80744
18195348802,1.61052,1.8353,1.96817
18196427354,1.68464,1.65242,1.70875
18197520202,1.76763,1.45503,1.41831
18198585717,1.75151,1.47839,1.4747
18199664565,1.64678,1.73621,1.84128
18200742413,1.60327,1.73459,1.99355
18201821131,1.68706,1.70479,1.70029
18202900423,1.79341,1.62583,1.32807
18203982734,1.77891,1.66531,1.37883
18205061582,1.66208,1.77891,1.7877
18206140134,1.59119,1.9062,2.03585
18207218741,1.66208,1.66289,1.7877
18208297237,1.78616,1.50417,1.35345
18209374826,1.80066,1.61858,1.30269
18210452489,1.68464,1.83611,1.70875
18211529615,1.58394,1.96099,2.06123
18212607537,1.62744,1.62905,1.90896
18213686903,1.75635,1.41555,1.45778
18214761677,1.78455,1.50337,1.35909
18215837988,1.70559,1.83691,1.63543
18216916688,1.61938,1.98757,1.93715
