Timestamp, Input Raw, Input Filtered, Output, Error
6675883403,-0.187875,0.00553113,0.0770664,0.0192659
6676948846,0.0877289,0.0224542,0.0221871,0.0189536
6678013012,0.314176,0.0474359,-0.0441994,0.0235263
6679077808,0.262601,0.0546886,-0.0562214,0.0274084
6680143177,-0.0347618,0.0377656,-0.00161585,0.0274937
6681208324,-0.254762,0.0127839,0.0661056,0.0230418
6682273731,-0.203993,0.00472528,0.0784014,0.0186006
6683338582,0.07,0.0208425,0.0239464,0.017758
6684404284,0.315788,0.0458242,-0.0437686,0.0219367
6685470357,0.274689,0.0546886,-0.0577779,0.0269533
6686534394,-0.0162271,0.0377656,-0.00391129,0.0269432
6687598819,-0.245092,0.0135898,0.0647259,0.0237782
6688663725,-0.200769,0.00553113,0.0796463,0.0199984
6689728354,0.0635532,0.0216483,0.0263806,0.0193895
6690793409,0.31337,0.0466301,-0.0420238,0.0231585
6691858149,0.285971,0.0563003,-0.0584759,0.028162
6692922463,-0.0194506,0.0393773,-0.00621106,0.027714
6693987073,-0.241062,0.0152015,0.0636208,0.0248088
6695056331,-0.217692,0.00553113,0.0810765,0.0201526
6696562128,0.0474359,0.0208425,0.0288349,0.0191733
6697211678,0.308535,0.0458242,-0.0404296,0.0226195
6698275232,0.274689,0.0546886,-0.0593996,0.0260723
6699353378,-0.0154212,0.0385714,-0.0082438,0.0260541
6700413211,-0.237033,0.0135898,0.0626737,0.02265
6701486135,-0.208022,0.00472528,0.0816069,0.0195334
6702570150,0.0611356,0.0208425,0.0301805,0.0197731
6703628095,0.308535,0.0458242,-0.0397409,0.023012
6704702667,0.269048,0.0563003,-0.0595949,0.0275884
6705759852,-0.00897438,0.0401831,-0.00927925,0.0272561
6706833035,-0.249121,0.0135898,0.0618401,0.0223701
6707904108,-0.208828,0.00391942,0.0812297,0.0187873
6708968903,0.0659707,0.0192308,0.0292104,0.0185284
6710044253,0.306923,0.0450184,-0.0403861,0.0226639
6711104419,0.277912,0.0554945,-0.0606683,0.0272105
6712175936,-0.00172156,0.0401831,-0.00953824,0.0277489
6714059501,-0.233004,0.0143957,0.0620693,0.0236339
6715130722,-0.0121978,0.0143957,0.0791671,0.0296973
6716190777,0.260183,0.0393773,0.0250069,0.0390273
6717253610,0.302088,0.0651649,-0.0404199,0.0433748
6718316980,0.0796704,0.0667766,-0.0473982,0.0394928
6719380312,-0.200769,0.0417948,0.0137966,0.0297721
6720443423,-0.244286,0.0160074,0.0777054,0.0227516
6721506422,-0.0186446,0.0152015,0.0745612,0.0235751
6722569532,0.25293,0.0401831,0.00782937,0.0307296
6723633272,0.312564,0.0659707,-0.0508386,0.0382008
6724696105,0.0885348,0.0675824,-0.0372452,0.040777
6725772547,-0.18707,0.0426007,0.0357679,0.0350254
6726821937,-0.249121,0.0168132,0.0912619,0.0258819
6727884251,-0.0323443,0.0152015,0.0691226,0.0198442
6728947214,0.249707,0.0401831,-0.0087228,0.0233485
6730009713,0.304506,0.0659707,-0.0588556,0.0331912
6731071620,0.0965934,0.0675824,-0.0269843,0.0415879
6732134064,-0.180623,0.0434065,0.0432082,0.0400891
6733196378,-0.256374,0.0168132,0.0816511,0.0285376
6734258526,-0.0468498,0.0143957,0.0505735,0.0182404
6735321155,0.240037,0.0377656,-0.0197262,0.0207189
6736384043,0.307729,0.0538828,-0.0590492,0.0249615
6737447042,0.128022,0.0474359,-0.0293572,0.0281829
6738510134,-0.162894,0.0240659,0.0400268,0.0265805
6739573171,-0.250733,0.00794869,0.0810788,0.0227771
6740636151,-0.0492674,0.0152015,0.0528389,0.0208255
6741699095,0.227143,0.0385714,-0.0161964,0.0225775
6742761706,0.310952,0.0554945,-0.0579676,0.0267562
6743824927,0.134469,0.0490476,-0.0312084,0.0290003
6744888630,-0.157253,0.0256776,0.0373936,0.0270574
6745954037,-0.260403,0.00794869,0.0801848,0.0223235
6747015221,-0.069414,0.0143957,0.0558495,0.0204985
6748078221,0.216667,0.0377656,-0.0122902,0.0224987
6749141127,0.310147,0.0546886,-0.0566624,0.0259923
6750204367,0.144139,0.0490476,-0.033098,0.0279635
6751266756,-0.157253,0.0264835,0.0348961,0.026534
6752330162,-0.252344,0.00875455,0.0801853,0.0225211
6753393514,-0.0831135,0.0135898,0.058954,0.0200546
6754456050,0.203773,0.0369597,-0.00953328,0.0222611
6755519420,0.316593,0.0546886,-0.0562588,0.0258578
6756582512,0.154615,0.0506594,-0.0357941,0.0285967
6757645270,-0.143553,0.0280952,0.0310214,0.0272024
6758709047,-0.260403,0.00875455,0.0788078,0.0224642
6759771806,-0.091978,0.011978,0.0602404,0.0194535
6760834342,0.194908,0.0345421,-0.00758124,0.021204
6761897805,0.310952,0.0522711,-0.0565049,0.0241542
6762960785,0.170733,0.0498535,-0.0385434,0.0276686
6764023581,-0.123407,0.0280952,0.027802,0.02686
6765101912,-0.248315,0.00875455,0.077358,0.0227533
6766150783,-0.104066,0.0111721,0.0619586,0.0197293
6767213412,0.17718,0.0329304,-0.00417692,0.0208166
6768276689,0.318205,0.0530769,-0.0540486,0.0254637
6769339596,0.175568,0.0506594,-0.0401683,0.0278593
6770402410,-0.123407,0.0289012,0.0249531,0.0265004
6771465447,-0.258791,0.00875455,0.0767061,0.0219927
6772528465,-0.12663,0.0103663,0.0641887,0.0191968
6773591538,0.17315,0.0313187,-0.000846648,0.019892
6774654297,0.327875,0.0522711,-0.0534455,0.024784
6775717777,0.197326,0.0514652,-0.042543,0.0279232
6776780369,-0.0935897,0.0313187,0.0212994,0.0279367
6777843813,-0.254762,0.0111721,0.0755812,0.0242335
6778906942,-0.1363,0.0111721,0.0676684,0.0208256
6779969589,0.162674,0.0321246,0.00382481,0.0217736
6781032737,0.324652,0.0530769,-0.0518334,0.0257437
6782095792,0.194103,0.0530769,-0.0452389,0.0283619
6783158736,-0.0935897,0.0329304,0.017986,0.0280002
6784221976,-0.274908,0.0103663,0.0754048,0.0227705
6785288660,-0.158864,0.00875455,0.0700108,0.0189991
6786352826,0.14011,0.0280952,0.00669762,0.0186656
6787417288,0.319817,0.0498535,-0.0515253,0.0226699
6788491508,0.223114,0.0514652,-0.048428,0.0260301
6789557692,-0.069414,0.0321246,0.0141771,0.026373
6790610730,-0.258791,0.0103663,0.0738263,0.0228291
